"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,550000,550000,1.0214,0.9,1,70000,58983,-3.49519066704829e-14,21206.5143673774,14.7458375439671,0.344017094017094,14.40182044995
25,545000,545000,1.0208,0.9,1,70000,58983,-3.50057760667158e-14,21195.6307480794,14.7455557066596,0.344017094017094,14.4015386126425
25,540000,540000,1.0228,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-3.50601897269943e-14,21184.6598146209,14.7452692074405,0.344017094017094,14.4012521134234
25,535000,535000,1.0272,0.9,1,70000,58983,-3.51152102749948e-14,21173.5895795697,14.7449778841558,0.344017094017094,14.4009607901387
25,530000,530000,1.0258,0.9,1,70000,58983,-3.51712186043243e-14,21162.3443296555,14.7446816176203,0.344017094017094,14.4006645236032
25,525000,525000,1.0278,0.9,1,70000,58983,-3.52278247136451e-14,21151.0032927739,14.74438031576,0.344017094017094,14.4003632217429
25,520000,520000,1.0332,0.9,1,70000,58983,-3.52850709784119e-14,21139.5586855751,14.7440737714932,0.344017094017094,14.4000566774761
25,515000,515000,1.035,0.9,1,70000,58983,-3.53432751220264e-14,21127.9479341021,14.7437618454655,0.344017094017094,14.3997447514485
25,510000,510000,1.0374,0.9,1,70000,58983,-3.54022831283039e-14,21116.2028215774,14.7434444334968,0.344017094017094,14.3994273394797
25,505000,505000,1.0394,0.9,1,70000,58983,-3.54621720327694e-14,21104.3090320876,14.7431213758173,0.344017094017094,14.3991042818002
25,5e+05,5e+05,1.043,0.9,0.999999999999999,70000,58983,-3.55228929338623e-14,21092.2773213649,14.7427925139777,0.344017094017094,14.3987754199607
25,495000,495000,1.0492,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-3.5584470439187e-14,21080.1038488397,14.7424576871416,0.344017094017094,14.3984405931245
25,490000,490000,1.0538,0.9,1,70000,58983,-3.56470530018052e-14,21067.7604282529,14.7421167347728,0.344017094017094,14.3980996407557
25,485000,485000,1.0568,0.9,0.999999999999999,70000,58983,-3.57106608931317e-14,21055.2443502432,14.7417695049497,0.344017094017094,14.3977524109326
25,480000,480000,1.0646,0.9,1,70000,58983,-3.57751873656247e-14,21042.5778589551,14.7414158295152,0.344017094017094,14.3973987354981
25,475000,475000,1.0704,0.9,1,70000,58983,-3.58408252925296e-14,21029.7244048855,14.7410555337778,0.344017094017094,14.3970384397607
25,470000,470000,1.0734,0.9,0.999999999999999,70000,58983,-3.59076031897156e-14,21016.6798860353,14.7406884805572,0.344017094017094,14.3966713865401
25,465000,465000,1.0802,0.9,1,70000,58983,-3.59754508358081e-14,21003.4594855017,14.7403144838676,0.344017094017094,14.3962973898505
25,460000,460000,1.0872,0.9,0.999999999999999,70000,58983,-3.60444658498496e-14,20990.045681512,14.7399333650656,0.344017094017094,14.3959162710485
25,455000,455000,1.0958,0.9,0.999999999999999,70000,58983,-3.61146855805621e-14,20976.4328290491,14.7395449438007,0.344017094017094,14.3955278497836
25,450000,450000,1.1024,0.9,0.999999999999999,70000,58983,-3.61861792269909e-14,20962.6092234776,14.7391490545227,0.344017094017094,14.3951319605056
25,445000,445000,1.1118,0.9,0.999999999999999,70000,58983,-3.62589524680083e-14,20948.575551412,14.7387454938819,0.344017094017094,14.3947283998648
25,440000,440000,1.1188,0.9,1,70000,58983,-3.63330704750474e-14,20934.3211027732,14.7383340927015,0.344017094017094,14.3943169986844
25,435000,435000,1.1286,0.9,1,70000,58983,-3.64085683668122e-14,20919.8410788366,14.7379146540501,0.344017094017094,14.393897560033
25,430000,430000,1.1338,0.9,1,70000,58983,-3.6485474269175e-14,20905.1321110937,14.7374869869375,0.344017094017094,14.3934698929204
25,425000,425000,1.143,0.9,1,70000,58983,-3.65638602695033e-14,20890.1825399745,14.7370509107936,0.344017094017094,14.3930338167765
25,420000,420000,1.1544,0.9,0.999999999999999,70000,58983,-3.66437833883521e-14,20874.9837466933,14.7366062129093,0.344017094017094,14.3925891188922
25,415000,415000,1.16,0.9,0.999999999999998,69999.9999999999,58982.9999999999,-3.6725207041254e-14,20859.5449852507,14.7361526288561,0.344017094017094,14.392135534839
25,410000,410000,1.16,0.9,1,70000,58983,-3.680816219165e-14,20843.8627002455,14.7356897965681,0.344017094017094,14.391672702551
25,405000,405000,1.16,0.9,1,70000,58983,-3.68927643366252e-14,20827.9175213799,14.7352175021113,0.344017094017094,14.3912004080942
25,4e+05,4e+05,1.16,0.9,0.999999999999999,70000,58983,-3.69790712573713e-14,20811.70119799,14.7347354179566,0.344017094017094,14.3907183239395
25,395000,395000,1.16,0.9,1,70000,58983,-3.70671301377611e-14,20795.2076247266,14.7342433101994,0.344017094017094,14.3902262161823
25,390000,390000,1.16,0.9,0.999999999999999,70000,58983,-3.71570071122654e-14,20778.4273055096,14.7337410320253,0.344017094017094,14.3897239380082
25,385000,385000,1.16,0.9,0.999999999999999,70000,58983,-3.72487575052065e-14,20761.3529435197,14.7332281794748,0.344017094017094,14.3892110854577
25,380000,380000,1.16,0.9,1,70000,58983,-3.73424417122675e-14,20743.9764713476,14.7327045108865,0.344017094017094,14.3886874168694
25,375000,375000,1.16,0.9,1,70000,58983,-3.7438125910307e-14,20726.2889395045,14.7321698063109,0.344017094017094,14.3881527122939
25,370000,370000,1.16,0.9,0.999999999999999,70000,58983,-3.75358729318361e-14,20708.2822170798,14.7316237134289,0.344017094017094,14.3876066194118
25,365000,365000,1.16,0.9,1,70000,58983,-3.76357563878441e-14,20689.9463974487,14.7310658866785,0.344017094017094,14.3870487926614
25,360000,360000,1.16,0.9,0.999999999999999,70000,58983,-3.77378477209494e-14,20671.2722020149,14.7304961237074,0.344017094017094,14.3864790296903
25,355000,355000,1.16,0.9,0.999999999999999,70000,58983,-3.78422201846835e-14,20652.2502543616,14.7299140960265,0.344017094017094,14.3858970020094
25,350000,350000,1.16,0.9,0.999999999999999,70000,58983,-3.79489492169946e-14,20632.8710238318,14.7293194486767,0.344017094017094,14.3853023546596
25,345000,345000,1.16,0.9,1,70000,58983,-3.80581147409099e-14,20613.1244230119,14.7287118750787,0.344017094017094,14.3846947810616
25,340000,340000,1.16,0.9,1,70000,58983,-3.81697985708049e-14,20593.0002954633,14.7280910887724,0.344017094017094,14.3840739947553
25,335000,335000,1.16,0.9,0.999999999999999,70000,58983,-3.82840857032379e-14,20572.4881972459,14.7274566781967,0.344017094017094,14.3834395841796
25,330000,330000,1.16,0.9,0.999999999999999,70000,58983,-3.84010677250222e-14,20551.5768066652,14.7268084426766,0.344017094017094,14.3827913486595
25,325000,325000,1.16,0.9,1,70000,58983,-3.85208372735565e-14,20530.2549392653,14.7261458809714,0.344017094017094,14.3821287869543
25,320000,320000,1.16,0.9,1,70000,58983,-3.86434885449882e-14,20508.5114691124,14.7254687018774,0.344017094017094,14.3814516078603
25,315000,315000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.87691218291942e-14,20486.3345432669,14.7247765942246,0.344017094017094,14.3807595002075
25,310000,310000,1.16,0.9,1,70000,58983,-3.88978415448086e-14,20463.7119574601,14.7240691296777,0.344017094017094,14.3800520356606
25,305000,305000,1.16,0.9,1,70000,58983,-3.90297557794589e-14,20440.6312607789,14.7233461047249,0.344017094017094,14.3793290107078
25,3e+05,3e+05,1.16,0.9,1,70000,58983,-3.91649771157501e-14,20417.0796354288,14.7226070739195,0.344017094017094,14.3785899799024
25,295000,295000,1.16,0.9,1,70000,58983,-3.93036225567088e-14,20393.0439369213,14.7218518384021,0.344017094017094,14.377834744385
25,290000,290000,1.16,0.9,0.999999999999999,70000,58983,-3.94458140925027e-14,20368.5106243037,14.7210798163564,0.344017094017094,14.3770627223393
25,285000,285000,1.16,0.9,1,70000,58983,-3.95916783582312e-14,20343.4658497146,14.7202906645584,0.344017094017094,14.3762735705413
25,280000,280000,1.16,0.9,0.999999999999999,70000,58983,-3.97413458029854e-14,20317.8956303554,14.7194839132408,0.344017094017094,14.3754668192237
25,275000,275000,1.16,0.9,0.999999999999999,70000,58983,-3.98949532852946e-14,20291.7854359927,14.7186592417286,0.344017094017094,14.3746421477115
25,270000,270000,1.16,0.9,1,70000,58983,-4.00526431021061e-14,20265.1203924241,14.7178163083882,0.344017094017094,14.3737992143711
25,265000,265000,1.16,0.9,0.999999999999999,70000,58983,-4.02145647522354e-14,20237.8850221528,14.716954732896,0.344017094017094,14.3729376388789
25,260000,260000,1.16,0.9,0.999999999999999,70000,58983,-4.03808726450567e-14,20210.0636722092,14.7160740760383,0.344017094017094,14.3720569820212
25,255000,255000,1.16,0.9,1,70000,58983,-4.05517275479961e-14,20181.6403102188,14.7151739968028,0.344017094017094,14.3711569027857
